id,name,author,language,year,genre
OLP127,Tuesdays with Morrie,Mitch Albom,English,1997,-
OLP128,God's Little Acre,Erskine Caldwell,English,1933,-
OLP129,Follow Your Heart (Va' dove ti porta il cuore),Susanna Tamaro,Italian,1994,-
OLP130,A Wrinkle in Time,Madeleine L'Engle,English,1962,-
OLP131,Long Walk to Freedom,Nelson Mandela,English,1994,-
OLP132,The Old Man and the Sea,Ernest Hemingway,English,1952,-
OLP133,Life After Life,Raymond Moody,English,1975,-
OLP134,Peyton Place ,Grace Metalious,English,1956,-
OLP135,The Giver,Lois Lowry,English,1993,Dystopian fiction
OLP136,Me Before You,Jojo Moyes,English,2012,-
OLP137,Norwegian Wood,Haruki Murakami,Japanese,1987,-
OLP138,The Plague (La Peste),Albert Camus,French,1947,-
OLP139,No Longer Human,Osamu Dazai,Japanese,1948,-
OLP140,Man's Search for Meaning,Viktor Frankl,German,1946,-
OLP141,The Divine Comedy (La Divina Commedia),Dante Alighieri,Italian,1304,-
OLP142,The Prophet,Kahlil Gibran,English,1923,-
OLP143,The Boy in the Striped Pyjamas,John Boyne,English,2006,-
OLP144,The Exorcist,William Peter Blatty,English,1971,Horror
OLP145,The Gruffalo,Julia Donaldson,English,1999,-
